QUESTIONBANKCODE|QUESTIONCODE|QUESTIONTYPE|QUESTIONTEXT|QUESTIONTEXTFORMAT|QUESTIONFEEDBACK|OPTION|RIGHTOPTION|OPTIONFEEDBACK|ISCORRECT|OPTIONWEIGHT|ISCASESENSITIVE|RANDOMIZEOPTIONS|STATUS
RHCSFT|RHCSFT0117|1|Which .csv file is used to set the POA and POD tags on virtual machines?|||attributes.csv|||0|0|||
RHCSFT|RHCSFT0117|1|Which .csv file is used to set the POA and POD tags on virtual machines?|||vms.csv|||0|0|||
RHCSFT|RHCSFT0117|1|Which .csv file is used to set the POA and POD tags on virtual machines?|||poa.csv|||0|0|||
RHCSFT|RHCSFT0118|1|What tag is used to set the platform which the VM will be migrated to? (Select the best single answer.)|||POD|||0|0|||
RHCSFT|RHCSFT0118|1|What tag is used to set the platform which the VM will be migrated to? (Select the best single answer.)|||POA|||1|100|||
RHCSFT|RHCSFT0118|1|What tag is used to set the platform which the VM will be migrated to? (Select the best single answer.)|||DOA|||0|0|||
RHCSFT|RHCSFT0118|1|What tag is used to set the platform which the VM will be migrated to? (Select the best single answer.)|||PTL|||0|0|||
RHCSFT|RHCSFT0119|1|What .csv file is used to set the migration tags on the virtual machines? (Select the best single answer.)|||tags.csv|||1|100|||
RHCSFT|RHCSFT0119|1|What .csv file is used to set the migration tags on the virtual machines? (Select the best single answer.)|||attributes.csv|||0|0|||
RHCSFT|RHCSFT0119|1|What .csv file is used to set the migration tags on the virtual machines? (Select the best single answer.)|||vms.csv|||0|0|||
RHCSFT|RHCSFT0119|1|What .csv file is used to set the migration tags on the virtual machines? (Select the best single answer.)|||poa.csv|||0|0|||
RHCSFT|RHCSFT0120|1|Which log file should be watched to see the status of the demonstration?|||status.log|||0|0|||
RHCSFT|RHCSFT0120|1|Which log file should be watched to see the status of the demonstration?|||messages|||0|0|||
RHCSFT|RHCSFT0120|1|Which log file should be watched to see the status of the demonstration?|||automation.log|||1|100|||
RHCSFT|RHCSFT0120|1|Which log file should be watched to see the status of the demonstration?|||system.log|||0|0|||
RHCSFT|RHCSFT0121|5|The service ordered in the catalog to perform migration is called adhoc_migrate. (True or False)|||True|||0|0|||
RHCSFT|RHCSFT0121|5|The service ordered in the catalog to perform migration is called adhoc_migrate. (True or False)|||False|||1|100|||
RHCSFT|RHCSFT0122|1|How many virtual machines are migrated during the demonstration? |||2|||0|0|||
RHCSFT|RHCSFT0122|1|How many virtual machines are migrated during the demonstration? |||3|||0|0|||
RHCSFT|RHCSFT0122|1|How many virtual machines are migrated during the demonstration? |||7|||0|0|||
RHCSFT|RHCSFT0122|1|How many virtual machines are migrated during the demonstration? |||4|||1|100|||
RHCSFT|RHCSFT0123|5|At the end of the demonstration the MySQL server is running on Red Hat Enterprise Virtualization (True or False)|||True|||1|100|||
RHCSFT|RHCSFT0123|5|At the end of the demonstration the MySQL server is running on Red Hat Enterprise Virtualization (True or False)|||False|||0|0|||
RHCSFT|RHCSFT0124|5|At the end of the demonstration the Wordpress servers are running on Red Hat Enterprise Virtualization (True or False)|||True|||0|0|||
RHCSFT|RHCSFT0124|5|At the end of the demonstration the Wordpress servers are running on Red Hat Enterprise Virtualization (True or False)|||False|||1|100|||
